,track name,artist,popularity,track id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,valence,mode,uri
56,Setting Sun,Lord Huron,30,3OEXbNyRWnpWDBp3EPQfcX,0.665,0.365,121.124,0.0321,0.661,0.0222,0.541,4,259280,-6.715,0.493,0,spotify:track:3OEXbNyRWnpWDBp3EPQfcX
57,Son of a Gun,Lord Huron,28,6zX9fhH3jj5gHz6mSdeoCd,0.63,0.089,91.475,0.028,0.871,0.0181,0.47,6,227938,-7.098,0.178,1,spotify:track:6zX9fhH3jj5gHz6mSdeoCd
58,When Will I See You Again,Lord Huron,28,0REE40PgsFtAfE790TJbAU,0.501,0.216,85.052,0.0259,0.177,0.00418,0.442,2,253306,-7.092,0.23,1,spotify:track:0REE40PgsFtAfE790TJbAU
59,Don’t Stop Now (Acoustic),The Maine,39,5gkIgpOFMESJMhoeNwNrJQ,0.361,0.15,109.916,0.0255,0.311,0.0,0.615,7,196000,-8.886,0.457,1,spotify:track:5gkIgpOFMESJMhoeNwNrJQ
60,Into Your Arms (Acoustic),The Maine,41,3Hm6TERGwKAxYWn58B9E6y,0.268,0.158,89.056,0.0312,0.62,0.0,0.605,7,225000,-15.686,0.494,1,spotify:track:3Hm6TERGwKAxYWn58B9E6y
61,My Friend,Groove Armada,58,5LRxSyiIRHQD26h1mdM0Ir,0.867,0.0571,94.091,0.158,0.00877,0.688,0.473,2,300267,-8.824,0.153,0,spotify:track:5LRxSyiIRHQD26h1mdM0Ir
62,I Took A Pill In Ibiza,Mike Posner,40,1PiKcVhlmHPvL7IPjx9dJk,0.319,0.125,74.109,0.0718,0.618,1.7e-06,0.636,10,280800,-10.065,0.378,1,spotify:track:1PiKcVhlmHPvL7IPjx9dJk
63,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,61,17Fd6Yb7mSbinKG8LoWfFl,0.713,0.0843,101.965,0.112,0.0353,7.68e-06,0.663,7,197933,-6.647,0.69,0,spotify:track:17Fd6Yb7mSbinKG8LoWfFl
64,Down,Marian Hill,41,2dqLk7ezV15LEJEwUmEbXB,0.362,0.125,169.998,0.273,0.684,0.00294,0.593,0,197773,-14.701,0.0522,0,spotify:track:2dqLk7ezV15LEJEwUmEbXB
65,Gold Rush,Death Cab for Cutie,63,4rX47mBU230P9Egkd1ICnN,0.969,0.293,80.425,0.0506,0.266,0.000141,0.515,5,240253,-4.431,0.743,1,spotify:track:4rX47mBU230P9Egkd1ICnN
66,They Move on Tracks of Never-Ending Light,This Will Destroy You,54,3cIG78oBauowzEbkBwWADN,0.188,0.0952,119.999,0.0377,0.546,0.836,0.645,6,416333,-19.37,0.0748,1,spotify:track:3cIG78oBauowzEbkBwWADN
67,Do You Still Love Me?,Ryan Adams,27,2lz8pL2v1G6FOr9JHZnZsI,0.444,0.0941,182.046,0.0391,0.00512,0.223,0.226,11,239546,-7.471,0.109,0,spotify:track:2lz8pL2v1G6FOr9JHZnZsI
68,My Life,ZHU,37,0EVKzZFLHPPXm2KPBgmUf4,0.561,0.103,109.983,0.0373,0.225,0.0833,0.755,0,294351,-7.893,0.16,0,spotify:track:0EVKzZFLHPPXm2KPBgmUf4
69,People Say,Portugal. The Man,2,4uf5rm43PiWhKjwytMwmAc,0.755,0.784,159.995,0.03,0.0245,1.18e-05,0.516,0,179360,-5.926,0.66,1,spotify:track:4uf5rm43PiWhKjwytMwmAc
70,Untitled #4 (Njósnavélin),Sigur Rós,40,0JhDrEhvhRTc0M4Xt3xbbi,0.423,0.0763,118.854,0.0317,0.437,0.747,0.219,0,453040,-11.832,0.106,1,spotify:track:0JhDrEhvhRTc0M4Xt3xbbi
71,Untitled #3 (Samskeyti),Sigur Rós,51,4o7YmNo3syL8mtvHNhwDuL,0.204,0.105,90.385,0.0313,0.802,0.901,0.115,3,393400,-14.414,0.0374,1,spotify:track:4o7YmNo3syL8mtvHNhwDuL
72,Ekki múkk,Sigur Rós,32,5Qqk4iD6ZtANf3ou25pJn6,0.238,0.0972,59.898,0.0421,0.724,0.958,0.107,3,465320,-13.482,0.0365,1,spotify:track:5Qqk4iD6ZtANf3ou25pJn6
73,Hoppípolla,Sigur Rós,55,6eTGxxQxiTFE6LfZHC33Wm,0.543,0.128,140.109,0.0308,0.0356,0.225,0.312,11,270013,-9.875,0.178,1,spotify:track:6eTGxxQxiTFE6LfZHC33Wm
74,Africa,Weezer,70,36Pim2ANczp82lCWIb8GHy,0.77,0.104,92.223,0.0432,0.238,0.00636,0.5,8,238148,-5.059,0.633,1,spotify:track:36Pim2ANczp82lCWIb8GHy
75,I Get Mine,Para Alta,3,6OYjgp85qqmcV1sh2c71ke,0.683,0.104,121.95,0.0345,6.97e-05,0.373,0.437,4,204108,-5.377,0.49,1,spotify:track:6OYjgp85qqmcV1sh2c71ke
76,Feel It,Para Alta,8,5z5YMMcxp8DOoZ5TFraYCZ,0.664,0.282,80.003,0.0334,0.0485,0.000288,0.503,4,331556,-8.001,0.584,1,spotify:track:5z5YMMcxp8DOoZ5TFraYCZ
77,Backseat Driver,Para Alta,9,7xL6CZrlavEDa4LZiZEcI6,0.671,0.101,131.017,0.0264,0.0207,0.0117,0.544,6,306318,-8.275,0.601,1,spotify:track:7xL6CZrlavEDa4LZiZEcI6
78,New You,Para Alta,11,7ibH4lFHROrB1IaZ3lodka,0.765,0.239,130.07,0.0394,0.0295,0.000563,0.486,4,270666,-7.313,0.392,1,spotify:track:7ibH4lFHROrB1IaZ3lodka
79,Home to You,Para Alta,15,7vBWPeowCSB1sTDpjc2553,0.905,0.15,130.011,0.0605,0.000302,0.00596,0.497,6,195149,-5.288,0.652,1,spotify:track:7vBWPeowCSB1sTDpjc2553
80,Secret Crowds,Angels & Airwaves,40,5tz7UrfFRduRbQgrn91B6Y,0.975,0.259,154.08,0.0821,0.00636,0.0,0.46,2,302800,-4.673,0.662,1,spotify:track:5tz7UrfFRduRbQgrn91B6Y
81,Stay Together For The Kids,blink-182,39,7M4LqvMyypNP8NPAt2AXil,0.78,0.156,145.125,0.0356,0.00165,2.14e-05,0.519,2,239333,-4.939,0.166,1,spotify:track:7M4LqvMyypNP8NPAt2AXil
82,Untitled #1 (Vaka),Sigur Rós,40,2nDAn2iLXJy8PjlO1d4C11,0.127,0.0724,85.564,0.0367,0.915,0.768,0.153,8,398493,-13.916,0.0397,1,spotify:track:2nDAn2iLXJy8PjlO1d4C11
83,Untitled,Interpol,41,5Egv98uHm9HN0iFSfV3qFC,0.794,0.0786,91.299,0.0317,0.00217,0.733,0.212,8,236707,-5.336,0.0983,1,spotify:track:5Egv98uHm9HN0iFSfV3qFC
84,Give Yourself A Try,The 1975,68,619pVMIK3WvX529JIkQTY3,0.784,0.427,182.964,0.0561,3.12e-05,0.0,0.331,11,197672,-5.002,0.902,1,spotify:track:619pVMIK3WvX529JIkQTY3
85,Hunger,Florence + The Machine,72,6HJcuxVgYjxcYDnPG0ystc,0.675,0.0985,116.016,0.0415,0.53,0.0,0.729,2,214667,-5.62,0.332,0,spotify:track:6HJcuxVgYjxcYDnPG0ystc
86,Nica Libres At Dusk,Ben Howard,62,5eSH7Aubn6Ol80ynF4MV2L,0.426,0.0976,148.063,0.031,0.76,0.392,0.453,9,394320,-12.793,0.356,1,spotify:track:5eSH7Aubn6Ol80ynF4MV2L
87,Towing The Line,Ben Howard,59,0j42gIS2iF6ilmp3B5D8o3,0.289,0.311,122.929,0.0403,0.917,0.234,0.429,5,235653,-14.15,0.181,1,spotify:track:0j42gIS2iF6ilmp3B5D8o3
88,A Boat To An Island On The Wall,Ben Howard,59,2sSdtJhzBYI7dcKICUBHC4,0.495,0.106,146.311,0.0385,0.466,0.821,0.486,5,430307,-9.056,0.326,1,spotify:track:2sSdtJhzBYI7dcKICUBHC4
89,What The Moon Does,Ben Howard,57,4emOncXwptQyAKsd5aG4Du,0.54,0.103,153.901,0.0306,0.851,0.819,0.538,0,320933,-10.622,0.614,1,spotify:track:4emOncXwptQyAKsd5aG4Du
90,Someone In The Doorway,Ben Howard,54,3KRMHJSi1h2jdQOY4bb6Mp,0.525,0.251,99.975,0.0366,0.157,0.713,0.622,7,296293,-10.455,0.796,1,spotify:track:3KRMHJSi1h2jdQOY4bb6Mp
91,All Down The Mines (Interlude),Ben Howard,50,4vHN56BfR7toxVuy3LHB9n,0.0271,0.151,112.742,0.0344,0.984,0.0135,0.273,0,46880,-25.859,0.284,1,spotify:track:4vHN56BfR7toxVuy3LHB9n
92,The Defeat,Ben Howard,54,6pmI8T6gylas6bM0P1GELa,0.653,0.111,89.094,0.0384,0.0583,0.627,0.406,0,353280,-8.879,0.118,1,spotify:track:6pmI8T6gylas6bM0P1GELa
93,A Boat To An Island Pt. 2 / Agatha's Song,Ben Howard,52,0xUfQOLquIo9Hj2I8HHAOL,0.209,0.0847,98.998,0.0269,0.868,0.847,0.277,8,293747,-14.874,0.0349,1,spotify:track:0xUfQOLquIo9Hj2I8HHAOL
94,There's Your Man,Ben Howard,56,7dGRFEsRY9vwqGgczE05I2,0.831,0.0602,149.885,0.0567,0.56,0.124,0.605,4,278573,-7.442,0.641,0,spotify:track:7dGRFEsRY9vwqGgczE05I2
95,Murmurations,Ben Howard,51,7IhG4c8vA6D69uJyoL94c5,0.584,0.0531,101.916,0.0311,0.842,0.771,0.559,7,375614,-9.276,0.347,1,spotify:track:7IhG4c8vA6D69uJyoL94c5
96,Linger,The Cranberries,60,1aLNpg2kKvUncflV8xE5AA,0.428,0.138,94.864,0.0263,0.0841,4.63e-05,0.438,7,274760,-14.861,0.209,1,spotify:track:1aLNpg2kKvUncflV8xE5AA
97,Girls Just Wanna Have Fun,Chromatics,37,4PdSxqz7mP8RzEPUcV66YY,0.883,0.0926,114.939,0.0578,0.00179,0.91,0.625,0,227370,-6.636,0.459,1,spotify:track:4PdSxqz7mP8RzEPUcV66YY
98,Do It Again,No Rome,48,5t7SHDPq9Ef7O92chdneBs,0.388,0.108,158.687,0.0632,0.041,0.000302,0.671,8,173748,-8.302,0.634,1,spotify:track:5t7SHDPq9Ef7O92chdneBs
99,For What It's Worth,Liam Gallagher,60,5Ih40KFkj3cSzxgisQxBvX,0.835,0.146,145.885,0.0332,0.00746,0.0,0.489,0,251631,-4.448,0.444,1,spotify:track:5Ih40KFkj3cSzxgisQxBvX
100,Wall Of Glass,Liam Gallagher,59,5qlSYa5PePLAuAsAFgqVxW,0.939,0.296,182.067,0.0564,6.42e-05,0.00113,0.351,0,223547,-4.469,0.321,1,spotify:track:5qlSYa5PePLAuAsAFgqVxW
101,Feeling,Bibio,40,6yhYzci3d8ywNs5uXs2Z3n,0.622,0.0894,85.798,0.0922,0.22,0.000448,0.709,5,207733,-6.156,0.83,0,spotify:track:6yhYzci3d8ywNs5uXs2Z3n
102,Lakeside,Bibio,40,7FVeGaVeBzyw2SKbHOWKMv,0.289,0.21,95.166,0.0386,0.967,0.973,0.261,4,220013,-16.67,0.15,1,spotify:track:7FVeGaVeBzyw2SKbHOWKMv
103,Petals,Bibio,63,1TVd8FHpeg1Afa92kaO0kR,0.286,0.109,152.205,0.0338,0.908,0.0036,0.359,9,152333,-10.172,0.229,0,spotify:track:1TVd8FHpeg1Afa92kaO0kR
104,lovers’ carvings,Bibio,58,3JeT6Xcv6MlEHHylk8SKQ1,0.47,0.532,118.06,0.0316,0.68,0.914,0.558,7,238640,-5.5,0.427,1,spotify:track:3JeT6Xcv6MlEHHylk8SKQ1
105,À tout à l'heure,Bibio,43,0uy4LNxyL0QmtDveDaiGwo,0.805,0.32,87.019,0.0889,0.164,0.356,0.257,10,249573,-5.119,0.494,1,spotify:track:0uy4LNxyL0QmtDveDaiGwo
106,Dreams,Beck,38,2ztEp1PlXiXi2tBv2nPMPk,0.96,0.074,114.0,0.0406,0.000745,0.0175,0.59,1,314487,-3.589,0.794,0,spotify:track:2ztEp1PlXiXi2tBv2nPMPk
107,Tongue Tied,Grouplove,74,0GO8y8jQk1PkHzS31d699N,0.936,0.161,112.96,0.0439,0.00847,0.0,0.56,3,218013,-5.835,0.371,1,spotify:track:0GO8y8jQk1PkHzS31d699N
108,An Endless Summer,Tom DeLonge,31,6crLZ56JjHpq76F8ql3m1g,0.946,0.26,105.011,0.0354,0.00348,8.29e-06,0.493,4,249009,-4.326,0.715,1,spotify:track:6crLZ56JjHpq76F8ql3m1g
109,The Invisible Parade,Tom DeLonge,34,2RNqPQsr2dKNHojuaI3TzF,0.393,0.177,88.97,0.0266,0.569,0.0,0.618,9,209503,-9.28,0.352,1,spotify:track:2RNqPQsr2dKNHojuaI3TzF
110,Afternoon,Youth Lagoon,46,7LgW5lfcYQTUpLx8GpU4eB,0.789,0.116,120.038,0.0441,0.382,0.969,0.635,8,250067,-6.672,0.084,1,spotify:track:7LgW5lfcYQTUpLx8GpU4eB
111,Maps,STRFKR,25,0zWyIZOIBPtSEpAIfNiCb8,0.719,0.285,83.003,0.0312,4.19e-05,0.849,0.418,5,276413,-4.963,0.0396,1,spotify:track:0zWyIZOIBPtSEpAIfNiCb8
112,Ventura,City of the Sun,60,3aIidfKAjMwaRTgvY9d0BG,0.422,0.0974,120.052,0.0318,0.403,0.902,0.605,4,281000,-15.64,0.172,0,spotify:track:3aIidfKAjMwaRTgvY9d0BG
113,Ends of the Earth,Lord Huron,62,4yyg2J2uXOjCtCyT64984C,0.579,0.358,120.991,0.0297,0.267,0.0289,0.55,4,284147,-8.622,0.432,1,spotify:track:4yyg2J2uXOjCtCyT64984C
114,Some Nights,fun.,70,67WTwafOMgegV6ABnBQxcE,0.738,0.0927,107.938,0.0506,0.0178,6.75e-05,0.672,0,277040,-7.045,0.392,1,spotify:track:67WTwafOMgegV6ABnBQxcE
115,Carry On,fun.,56,5xZjfKSfTooDP2rcAgjxlH,0.694,0.082,145.434,0.0735,0.118,0.000293,0.388,5,278373,-5.769,0.365,1,spotify:track:5xZjfKSfTooDP2rcAgjxlH
116,We Are Young (feat. Janelle Monáe),fun.,69,5rgy6ghBq1eRApCkeUdJXf,0.638,0.0849,184.086,0.075,0.02,7.66e-05,0.378,10,250627,-5.576,0.735,1,spotify:track:5rgy6ghBq1eRApCkeUdJXf
117,Blue Eyes,Destroyer,27,2g0V5OkcTZUwRXKPHmh2Y8,0.473,0.203,112.038,0.0281,0.0131,0.00111,0.621,2,247173,-8.845,0.415,1,spotify:track:2g0V5OkcTZUwRXKPHmh2Y8
118,Savage Night At The Opera,Destroyer,30,76vhTuDV6eDBWygcjTb46U,0.593,0.0745,146.976,0.0393,0.00243,0.175,0.675,0,263587,-8.11,0.796,1,spotify:track:76vhTuDV6eDBWygcjTb46U
119,"Letters to God, Pt II",Angels & Airwaves,32,4arPqFGrTpc6v2eGIetz4s,0.918,0.0842,138.006,0.0653,0.00337,0.0,0.447,0,246080,-4.437,0.17,1,spotify:track:4arPqFGrTpc6v2eGIetz4s
